P_CODE,VDC_NAME,DISTRICT,REGION,MMI_MAX,MMI_UNLOG,MMI_MAX,POP_2011,POP_2011,POPDEN_2011,POPDEN_2011,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HUMAN_POVERTY_INDEX,HUMAN_POVERTY_INDEX
C-BAG-23-058,Sangachok,Sindhupalchok,Central,7.80,63352954,1.47,9577,0.10,313.53,5.72,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-059,Sanusiruwari,Sindhupalchok,Central,7.71,51547579,1.19,3274,0.03,296.28,5.67,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-060,Selang,Sindhupalchok,Central,7.46,29168964,0.68,2613,0.03,113.94,4.71,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-061,Sikharpur,Sindhupalchok,Central,7.80,63091675,1.46,2564,0.03,286.9,5.63,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-062,Sindhukot,Sindhupalchok,Central,7.55,35476252,0.82,3125,0.03,260.01,5.54,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-063,SipalKavre,Sindhupalchok,Central,7.76,57844028,1.34,3805,0.04,364.47,5.87,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-064,SipaPokhare,Sindhupalchok,Central,7.54,34699427,0.80,2777,0.03,151.21,5.00,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-065,Sunkhani,Sindhupalchok,Central,7.61,40895655,0.95,2520,0.03,188.75,5.22,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-066,SyauleBazar,Sindhupalchok,Central,7.60,40184693,0.93,3630,0.04,158.44,5.04,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-067,Talramarang,Sindhupalchok,Central,7.58,37695927,0.87,3141,0.03,247.19,5.49,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-068,Tatopani,Sindhupalchok,Central,7.31,20253694,0.47,6774,0.07,72.52,4.26,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-069,Tauthali,Sindhupalchok,Central,7.54,34277519,0.79,2762,0.03,152.46,5.00,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-070,Tekanpur,Sindhupalchok,Central,7.41,25819012,0.60,1609,0.02,352.81,5.84,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-071,Thakani,Sindhupalchok,Central,7.59,39277546,0.91,3439,0.04,179.73,5.17,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-072,ThampalChhap,Sindhupalchok,Central,7.43,27188921,0.63,3510,0.04,254.87,5.52,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-073,Thanpalkot,Sindhupalchok,Central,7.33,21466954,0.50,2635,0.03,120.86,4.77,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-074,Thokarpa,Sindhupalchok,Central,7.67,46506725,1.08,4373,0.04,251.02,5.50,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-075,ThuloDhading,Sindhupalchok,Central,7.67,46826345,1.09,2115,0.02,182.18,5.18,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-076,ThuloPakhar,Sindhupalchok,Central,7.63,42312776,0.98,2909,0.03,199.14,5.27,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-077,ThuloSirubari,Sindhupalchok,Central,7.74,55089683,1.28,5987,0.06,268.1,5.57,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-078,ThumPakhar,Sindhupalchok,Central,7.52,32804219,0.76,3643,0.04,271.02,5.58,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-079,Yamunadanda,Sindhupalchok,Central,7.52,33397252,0.77,1507,0.02,191.56,5.23,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-24-001,Anekot,Kavrepalanchok,Central,7.90,79205886,1.84,7100,0.07,287.52,5.64,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-002,Baldthali,Kavrepalanchok,Central,8.06,116116443,2.69,2695,0.03,282.92,5.62,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-003,Balting,Kavrepalanchok,Central,7.95,89024614,2.06,2590,0.03,196.32,5.26,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-004,BaluwapatiDeupur,Kavrepalanchok,Central,7.75,56607490,1.31,6023,0.06,295.3,5.66,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-005,BanakhuChor,Kavrepalanchok,Central,8.26,182779952,4.24,4554,0.05,123.59,4.80,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-006,BanepaN. P.,Kavrepalanchok,Central,7.99,98183118,2.28,24764,0.25,4455.93,8.36,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-007,Bekhsimle,Kavrepalanchok,Central,7.70,50282347,1.17,1161,0.01,196.08,5.25,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-008,Bhimkhori,Kavrepalanchok,Central,7.95,89169101,2.07,5524,0.06,160.17,5.05,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-009,Bhumlutar,Kavrepalanchok,Central,7.80,63182833,1.46,1885,0.02,235.11,5.44,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-010,Birtadeurali,Kavrepalanchok,Central,7.85,70632837,1.64,2272,0.02,187.35,5.21,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-011,BoldeFediche,Kavrepalanchok,Central,7.81,64125065,1.49,2041,0.02,73.88,4.28,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-012,Budhakhani,Kavrepalanchok,Central,8.08,119070646,2.76,3941,0.04,98.94,4.57,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-013,ChalalGaneshsthan,Kavrepalanchok,Central,8.01,102767117,2.38,3973,0.04,315.12,5.73,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-014,ChandeniMandan,Kavrepalanchok,Central,7.76,57380492,1.33,3265,0.03,343.08,5.81,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-015,Chaubas,Kavrepalanchok,Central,7.69,49409772,1.15,2068,0.02,157.04,5.03,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-016,Chyamrangbesi,Kavrepalanchok,Central,8.10,124969669,2.90,1629,0.02,63.42,4.13,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-017,ChyasingKharka,Kavrepalanchok,Central,8.00,99829742,2.31,2789,0.03,290.62,5.65,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-018,Dandagaun,Kavrepalanchok,Central,8.38,239523319,5.55,3104,0.03,648.86,6.45,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-019,DapchaChatraibhanjha,Kavrepalanchok,Central,7.99,97246618,2.25,2766,0.03,324.45,5.76,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-020,DaraunePokhari,Kavrepalanchok,Central,7.95,88839384,2.06,2684,0.03,310.56,5.71,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-021,DeuvumiBaluwa,Kavrepalanchok,Central,7.97,93313295,2.16,7138,0.07,400.8,5.97,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-022,Devitar,Kavrepalanchok,Central,7.83,67949866,1.58,2652,0.03,263.69,5.55,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-023,DhulikhelN. P.,Kavrepalanchok,Central,8.06,114075360,2.64,14283,0.15,1182.44,7.04,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-024,Dhunkharka,Kavrepalanchok,Central,8.02,103840089,2.41,4916,0.05,169,5.11,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-025,DhuseniSiwalaya,Kavrepalanchok,Central,7.70,50431629,1.17,1716,0.02,210.48,5.33,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-026,Dolalghat,Kavrepalanchok,Central,7.79,61638376,1.43,2126,0.02,287.03,5.63,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-027,FalateBhumlu,Kavrepalanchok,Central,7.76,57975899,1.34,1185,0.01,137.4,4.90,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-028,Falametar,Kavrepalanchok,Central,8.16,143263815,3.32,4234,0.04,84.14,4.41,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-029,Foksingtar,Kavrepalanchok,Central,8.18,149901852,3.48,2339,0.02,70.64,4.24,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-030,GairiBisouna Deupur,Kavrepalanchok,Central,7.84,69167020,1.60,5374,0.06,689.41,6.51,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-031,Ghartichhap,Kavrepalanchok,Central,8.22,165244590,3.83,2612,0.03,102.86,4.61,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-032,Gokule,Kavrepalanchok,Central,8.42,264539251,6.13,4837,0.05,95.19,4.54,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-033,Gothpani,Kavrepalanchok,Central,7.78,59617393,1.38,2292,0.02,172.93,5.13,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-034,HokseBazar,Kavrepalanchok,Central,7.99,98845407,2.29,4613,0.05,370.56,5.89,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-035,JaisithokMandan,Kavrepalanchok,Central,7.94,87315635,2.02,2965,0.03,359.48,5.86,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-036,JyamdiMandan,Kavrepalanchok,Central,7.91,80913231,1.88,4878,0.05,299.98,5.68,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-037,Kalati Bhumidanda,Kavrepalanchok,Central,8.04,109029558,2.53,3638,0.04,140.18,4.92,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-038,KanpurKalapani,Kavrepalanchok,Central,7.95,89424505,2.07,4376,0.04,233.29,5.43,97.66,9.74,31.37,3.18,27.34,3.31
